$,dollar ドル記号
agglutinative,膠着性の
agglutinin,凝集素
aggrandizement,増大
aggrandizement,強化
aggrandizement,昇進
aggrandizer,強化拡大する人
aggravating,いらいらさせる
aggravating,怒らせる
aggravating,悪化させる
aggravation,悪化
aggravation,深刻化
aggravation,腹立ちの原因
aggregation,集合
aggregation,集合体
aggregation,集団
aggression,侵略
aggression,攻撃
aggression,侵害
aggressive,侵略的な
aggressive,攻撃的な
aggressive,積極的な
aggressive,反対を恐れない
aggressor,侵略者
aggressor,攻撃してくる者
aggrieved,侮辱された
aggrieved,権利を奪われた
aghast,びっくりして
aghast,驚きあきれて
agile,機敏な
agile,すばやい
agile,明敏な
agile,回転の速い
agility,機敏さ
agility,明敏さ
aging,年をとること
aging,熟成
agitation,ゆり動かすこと
agitation,かき混ぜること
agitation,動揺
agitation,扇動
agitation,アジ
agitator,扇動家
agitator,撹拌器
agitator,かきまぜ器
agleam,きらめいて
agleam,輝いて
aglitter,きらきら輝く
aglow,赤々と輝いて
aglow,赤らんで
aglow,燃えて
agnostic,不可知論者
agnostic,不可知論の
agnostic,不可知論者の
agnosticism,不可知論
agog,興奮した
agog,待ち構えて
agog,熱望して
agog,熱望して
agog,興奮して
agog,わくわくして
agonized,苦しんでいる
agonized,苦悶の
agonized,もだえた
agonizing,苦悶の
agonizing,悲痛な
agony,苦悶
agony,苦痛
agony,激発
agony,突発
agora,市民集会
agora,集会場
agora,広場
agora,市場
agoraphobia,広場恐怖症
agoraphobic,広場恐怖症にかかった
agr.,agricultural
agr.,agriculture
agrarian,土地の
agrarian,耕地の
agrarian,農地の
agreeable,気持ちのよい
agreeable,快い
agreeable,かなった
agreeable,快く応じる
agreeably,気持ちよく
agreeably,愉快に
agreed,一致した
agreed,同意した
agreement,一致
agreement,調和
agreement,同意
agreement,協定
agreement,協約
agreement,一致
agribusiness,農業関連産業
agricultural,農業の
agricultural,農耕の
agricultural,農学の
agriculturalist,農業経営者
agriculturalist,農業専門家
agriculture,農業
agriculture,農学
agronomist,農学者
agronomy,作物学
agronomy,農学
aground,座礁して
aground,座礁した
Agt.,against
Agt.,agent
Agt.,agreement
agt.,against
agt.,agent
agt.,agreement
ague,マラリア熱
ague,おこり
ague,寒け
ague,悪寒
ah,ああ
aha,ほほう
aha,ほーら
aha,どんなものだ
ahead,前方に
ahead,前に
ahead,前に
ahead,先に
ahead,他よりまさって
ahem,えへん
ahoy,おおい
AID,artificial insemination by donor 非配偶者間人工受精
aide,副官
aide,補佐官
aide,助手
aide-de-camp,副官
AIH,artificial insemination by husband 配偶者間人工受精
ailanthus,ニワウルシ
aileron,補助翼
ailment,病気
ailment,不快
aim,〈銃
aim,矢
aim,ミサイルなど〉向ける
aim,ねらう
aim,ねらいをつける
aim,目ざす
aim,目的とする
aim,照準
aim,ねらい
aim,目的
aim,意図
aim,ねらい
aimless,目的のない
aimless,あてのない
ain't,are notの短縮形
ain't,am not
ain't,is notの短縮形
ain't,has not
ain't,have notの短縮形
air-condition,〈建物
air-condition,部屋など〉空気を調節する
air-conditioned,空気調節装置つきの
air-conditioning,空気調節
air-conditioning,冷暖房
air-cooled,空冷式の
air-cooling,空冷式
air-minded,航空に興味をもった
air-minded,空の旅が好きな
airbag,エアバッグ
airbase,空軍基地
airbed,空気ベッド
airbladder,気泡
airbladder,浮き袋
airborne,空気で運ばれる
airborne,風媒の
airborne,空輸の
airborne,飛行中の
airborne,飛んでいる
airbrake,エアブレーキ
airbrake,空気制動機
airbrick,有孔れんが
airbrush,エアブラシ
airbus,エアバス
aircraft,航空機
aircraftman,航空兵
aircraftman,航空機整備員
aircrew,航空機乗組員
aircushion,空気座ぶとん
aircushion,空気ばね
aircushion,噴射気流
Airedale,エアデールテリア
airfield,小飛行場
airfield,飛行場
airfield,滑走路
airflow,気流
airfoil,翼形
airfoil,翼
airframe,機体
airfreight,空輸貨物
airfreight,貨物空輸
airhostess,スチュワーデス
airily,軽やかに
airily,快活に
airily,浮き浮きして
airing,空気にあてること
airing,虫干し
airing,外出
airing,散歩
airing,公開
airing,周知
airless,風通しの悪い
airless,むっとする
airless,風のない
airless,空気のない
airlift,空輸
airlift,人員
airlift,物資
airline,航空路
airliner,定期旅客機
airlock,エアロック
airlock,気閘
airlock,気密室
airman,飛行家
airman,飛行士
airman,航空兵
airmobile,空挺部隊の
airplane,飛行機
airport,空港
airshaft,通風孔
airship,飛行船
airsick,航空病にかかった
airsick,飛行機に酔った
airsickness,飛行機酔い
airsickness,航空病
airspace,空積
airspace,領空
airspeed,対空速度
airspeed,対気速度
airstrip,滑走路
airtight,空気を通さない
airtight,気密の
airtight,つけ入るすきのない
airtight,水ももらさぬ
airwaves,放送機関
airway,航空路
airway,通風路
airway,航空会社
airwoman,女流飛行家
airworthy,航空に耐える
airworthy,耐空性の
airy,風のよく通る
airy,軽やかな
airy,ふんわりした
airy,軽やかな
airy,浮き浮きした
airy,陽気な
airy,空想的な
airy,非現実的な
aitch,H
aitch,hの字
aitchbone,しり骨
aitchbone,しり肉
ajar,少し開いている
ajar,半開きの
ajar,少し開いて
ajar,半開きで
AK,Alaska
akimbo,両手を腰に当てひじを張った
akimbo,両手を腰に当てひじを張って
akin,同じ家族の
akin,血族の
akin,類似の
akin,同類の
Al,aluminumの化学記号
AL,Alabama
Ala.,Alabama
Alabama,アラバマ州
alabaster,雪花石膏
alabaster,白くすべすべした
alack,ああ
alacrity,敏活
alacrity,機敏
Alamo,アラモ
alamode,現代流行の
alamode,アイスクリームをのせた
alar,翼のある
alar,翼の形をした
alarming,人を驚かせる
alarming,急を告げる
alarmist,人騒がせな人
alas,ああ
alas,あわれ
Alas.,Alaska
Alaska,アラスカ州
Alaskan,アラスカの
Alaskan,アラスカ人の
Alaskan,アラスカ人
alb,アルバ
Albania,アルバニア
Albanian,アルバニアの
Albanian,アルバニア人の
Albanian,アルバニア語の
Albanian,アルバニア人
Albanian,アルバニア語
Albany,オルバニー
albatross,アホウドリ
albino,白子
albino,白変種
Albion,アルビオン
album,アルバム
album,組レコード
album,アルバム
album,画帳
albumin,アルブミン
alc.,alcohol
alcalde,司法権を持つ市長
alcazar,城
alcazar,要塞
alcazar,アルカザール宮
alchemist,錬金術師
alchemy,錬金術
alcohol,アルコール
alcohol,酒精
alcohol,アルコール飲料
alcohol,酒
alcoholic,アルコールの
alcoholic,アルコール性の
alcoholic,アルコールのはいった
alcoholic,アルコール漬けの
alcoholic,アルコール中毒の
alcoholic,アルコール中毒者
alcoholism,アルコール中毒
alcoholism,アルコール中毒症
alcove,小部屋
alcove,壁の切り込み
ald.,alderman
aldehyde,アルデヒド
alder,ハンノキ
alderman,市参事会員
alderman,市助役
alderman,市会議員
ale,エール
aleatory,偶然で決まる
aleatory,偶然の
alee,風下に
alembic,ランビキ
Aleut,アリューシャン列島住民
Aleut,アリュート語
alewife,北米産のニシンに似た食用魚
Alexandria,アレキサンドリア
Alexandrian,アレキサンドリアの
Alexandrian,アレキサンダー大王の
Alexandrine,アレクサンドル格の詩
Alexandrine,アレクサンドル格の
alexia,失読症
alfalfa,ムラサキウマゴヤシ
alfresco,戸外で
alfresco,戸外の
alg.,algebra
alga,藻
alga,藻類
algae,藻類
algal,藻の
algal,藻類の
algebra,代数
algebraic,代数の
algebraic,代数学上の
algebraist,代数学者
Algeria,アルジェリア
Algerian,アルジェリアの
Algerian,アルジェリア人
Algiers,アルジェ
Algonquian,アルゴンキン語族
Algonquian,アルゴンキン族
Algonquian,アルゴンキン語族の
algorithm,アルゴリズム
Alhambra,アルハンブラ宮殿
alias,別名では
alias,偽名は
alias,別名
alias,通称
alibi,アリバイ
alibi,現場不在証明
alibi,いいわけ
alibi,口実
alibi,言いわけをする
alien,外国の
alien,異国の
alien,外国人の
alien,在留外国人の
alien,相いれない
alien,反する
alien,異常な
alien,外国人
alien,在留外国人
alien,外国人
alienable,譲渡できる
alienation,遠ざけること
alienation,疎遠
alienation,疎外
alienist,精神病医
alight,降りる
alight,燃えて
alight,輝いて
alight,明るい
alignment,整列
alignment,提携
alignment,連合
alinement,整列
alinement,提携
alinement,連合
alike,同じように
alike,等しく
alike,似ている
aliment,食物
aliment,滋養物
aliment,扶養
aliment,扶養料
alimentary,栄養の
alimentary,消化の
alimony,離婚手当
alimony,別居手当
aliquant,整除できない
aliquant,割り切れない
alit,alightの過去
alit,過去分詞
alive,生きている
alive,現存している
alive,活動している
alive,有効である
alive,生き生きした
alive,活発な
alizarin,アリザリン
alk.,alkali
alk.,alkaline
alkali,アルカリ
alkali,塩基
alkaline,アルカリの
alkaloid,アルカロイド
all-American,全米代表の
all-American,もっともアメリカ的な
all-American,全米代表選手
all-around,多才な
all-around,万能の
all-around,多くの目的にかなう
all-day,終日の
all-day,まる1日かかる
all-important,きわめて重要な
all-in,すべてをひっくるめた
all-in,フリースタイルの
all-night,徹夜の
all-night,終夜の
all-night,終夜営業の
all-out,総力をあげての
all-out,徹底的な
all-powerful,全能の
all-purpose,あらゆる目的に使用できる
all-purpose,万能の
all-star,花形スター総出演の
all-star,花形選手総出場の
Allah,アラー神
allegation,主張
allegation,申し立て
alleged,申し立てられた
alleged,疑いをかけられた
allegedly,申し立てによれば
allegedly,伝えられるところでは
alleger,申立て人
alleger,陳述者
allegiance,忠誠
allegiance,忠節
allegiance,献身
allegorical,寓意の
allegorical,たとえ話の
allegory,寓意
allegory,寓意物語
allegory,たとえ話
allegretto,やや急速に
allegretto,アレグレット
allegretto,やや急速な調子の楽章
allegro,急速に
allegro,アレグロ
allele,対立遺伝子
allergic,アレルギー性の
allergic,アレルギーを起こす
allergic,神経過敏の
allergic,大きらいの
allergist,アレルギー性疾患専門医
allergy,アレルギー
allergy,異常過敏症
alleviation,軽減
alleviation,緩和
alleviation,緩和するもの
alley,小路
alley,路地
alley,小道
alley,裏通り
alley,レーン
alley,ボウリング場
alley,はじき玉
alleyway,横丁
alleyway,路地
alliance,同盟
alliance,協定
alliance,同盟国
alliance,協力
alliance,提携
alliance,縁組み
alliance,姻戚関係
alliance,交友
allied,同盟した
allied,連合した
allied,関連した
allied,同類の
alligator,ワニ
alligator,ワニ皮
alliteration,頭韻
alliteration,頭声
alliterative,頭韻の
alliterative,頭韻体の
allopathy,逆症療法
allotment,割り当て
allotment,分け前
allotment,分割貸与農地
allotropy,同素体
allotropy,同質異形
allover,全面にわたる
allowable,許される
allowance,割り当て
allowance,手当
allowance,こづかい
allowance,値引き
allowance,割引き
allspice,オールスパイス
allude,ほのめかす
allude,それとなく言う
allurement,そそのかし
allurement,誘惑
allurement,誘惑する物
alluring,誘惑する
alluring,魅惑的な
allusion,ほのめかし
allusion,あてつけ
allusion,引喩
allusive,暗示的な
allusive,暗示する
alluvial,沖積の
alluvium,沖積層
alluvium,沖積土
almanac,暦
almanac,年艦
almanack,暦
almanack,年艦
almandine,アルマンディン
almandine,鉄礬柘榴石
almighty,全能の
almighty,全能の神
almond-eyed,細長い目をした
almoner,社会医療事務職員
almost,ほとんど
almost,たいてい
alms,施し物
alms,義援金
almshouse,救貧院
almshouse,養老院
aloe,アロエ
aloe,ロカイ
aloe,リュウゼツラン
aloe,沈香
aloft,空中高く
aloft,上に
aloft,マストの頂上に
aloha,愛
aloha,愛情
aloha,あいさつ
aloha,ようこそ
